MatchId,Date,Region,Venue,Phase
M1,2026-06-11,Central,MEXICO CITY,Group
M2,2026-06-11,Central,GUADALAJARA,Group
M3,2026-06-12,Eastern,TORONTO,Group
M4,2026-06-12,Western,LOS ANGELES,Group
M5,2026-06-13,Eastern,BOSTON,Group
M6,2026-06-13,Western,VANCOUVER,Group
M7,2026-06-13,Eastern,NEW YORK NEW JERSEY,Group
M8,2026-06-13,Western,SAN FRANCISCO BAY AREA,Group
M9,2026-06-14,Eastern,PHILADELPHIA,Group
M10,2026-06-14,Central,HOUSTON,Group
M11,2026-06-14,Central,DALLAS,Group
M12,2026-06-14,Central,MONTERREY,Group
M13,2026-06-15,Eastern,MIAMI,Group
M14,2026-06-15,Eastern,ATLANTA,Group
M15,2026-06-15,Western,LOS ANGELES,Group
M16,2026-06-15,Western,SEATTLE,Group
M17,2026-06-16,Eastern,NEW YORK NEW JERSEY,Group
M18,2026-06-16,Eastern,BOSTON,Group
M19,2026-06-16,Central,KANSAS CITY,Group
M20,2026-06-16,Western,SAN FRANCISCO BAY AREA,Group
M21,2026-06-17,Eastern,TORONTO,Group
M22,2026-06-17,Central,DALLAS,Group
M23,2026-06-17,Central,HOUSTON,Group
M24,2026-06-17,Central,MEXICO CITY,Group
M25,2026-06-18,Eastern,ATLANTA,Group
M26,2026-06-18,Western,LOS ANGELES,Group
M27,2026-06-18,Western,VANCOUVER,Group
M28,2026-06-18,Central,GUADALAJARA,Group
M29,2026-06-19,Eastern,PHILADELPHIA,Group
M30,2026-06-19,Eastern,BOSTON,Group
M31,2026-06-19,Western,SAN FRANCISCO BAY AREA,Group
M32,2026-06-19,Western,SEATTLE,Group
M33,2026-06-20,Eastern,TORONTO,Group
M34,2026-06-20,Central,KANSAS CITY,Group
M35,2026-06-20,Central,HOUSTON,Group
M36,2026-06-20,Central,MONTERREY,Group
M37,2026-06-21,Eastern,MIAMI,Group
M38,2026-06-21,Eastern,ATLANTA,Group
M39,2026-06-21,Western,LOS ANGELES,Group
M40,2026-06-21,Western,VANCOUVER,Group
M41,2026-06-22,Eastern,NEW YORK NEW JERSEY,Group
M42,2026-06-22,Eastern,PHILADELPHIA,Group
M43,2026-06-22,Central,DALLAS,Group
M44,2026-06-22,Western,SAN FRANCISCO BAY AREA,Group
M45,2026-06-23,Eastern,BOSTON,Group
M46,2026-06-23,Eastern,TORONTO,Group
M47,2026-06-23,Central,HOUSTON,Group
M48,2026-06-23,Central,GUADALAJARA,Group
M49,2026-06-24,Eastern,MIAMI,Group
M50,2026-06-24,Eastern,ATLANTA,Group
M51,2026-06-24,Western,VANCOUVER,Group
M52,2026-06-24,Western,SEATTLE,Group
M53,2026-06-24,Central,MEXICO CITY,Group
M54,2026-06-24,Central,MONTERREY,Group
M55,2026-06-25,Eastern,PHILADELPHIA,Group
M56,2026-06-25,Eastern,NEW YORK NEW JERSEY,Group
M57,2026-06-25,Central,DALLAS,Group
M58,2026-06-25,Central,KANSAS CITY,Group
M59,2026-06-25,Western,LOS ANGELES,Group
M60,2026-06-25,Western,SAN FRANCISCO BAY AREA,Group
M61,2026-06-26,Eastern,BOSTON,Group
M62,2026-06-26,Eastern,TORONTO,Group
M63,2026-06-26,Western,SEATTLE,Group
M64,2026-06-26,Western,VANCOUVER,Group
M65,2026-06-26,Central,HOUSTON,Group
M66,2026-06-26,Central,GUADALAJARA,Group
M67,2026-06-27,Eastern,NEW YORK NEW JERSEY,Group
M68,2026-06-27,Eastern,PHILADELPHIA,Group
M69,2026-06-27,Central,KANSAS CITY,Group
M70,2026-06-27,Central,DALLAS,Group
M71,2026-06-27,Eastern,MIAMI,Group
M72,2026-06-27,Eastern,ATLANTA,Group
M73,2026-06-28,Western,LOS ANGELES,Round of 32
M74,2026-06-29,Eastern,BOSTON,Round of 32
M75,2026-06-29,Central,MONTERREY,Round of 32
M76,2026-06-29,Central,HOUSTON,Round of 32
M77,2026-06-30,Eastern,NEW YORK NEW JERSEY,Round of 32
M78,2026-06-30,Central,DALLAS,Round of 32
M79,2026-06-30,Central,MEXICO CITY,Round of 32
M80,2026-07-01,Eastern,ATLANTA,Round of 32
M81,2026-07-01,Western,SAN FRANCISCO BAY AREA,Round of 32
M82,2026-07-01,Western,SEATTLE,Round of 32
M83,2026-07-02,Eastern,TORONTO,Round of 32
M84,2026-07-02,Western,LOS ANGELES,Round of 32
M85,2026-07-02,Western,VANCOUVER,Round of 32
M86,2026-07-03,Eastern,MIAMI,Round of 32
M87,2026-07-03,Central,KANSAS CITY,Round of 32
M88,2026-07-03,Central,DALLAS,Round of 32
M89,2026-07-04,Eastern,PHILADELPHIA,Round of 16
M90,2026-07-04,Central,HOUSTON,Round of 16
M91,2026-07-05,Eastern,NEW YORK NEW JERSEY,Round of 16
M92,2026-07-05,Central,MEXICO CITY,Round of 16
M93,2026-07-06,Central,DALLAS,Round of 16
M94,2026-07-06,Western,SEATTLE,Round of 16
M95,2026-07-07,Eastern,ATLANTA,Round of 16
M96,2026-07-07,Western,VANCOUVER,Round of 16
M97,2026-07-09,Eastern,BOSTON,Quarter-finals
M98,2026-07-10,Western,LOS ANGELES,Quarter-finals
M99,2026-07-11,Eastern,MIAMI,Quarter-finals
M100,2026-07-11,Central,KANSAS CITY,Quarter-finals
M101,2026-07-14,Central,DALLAS,Semi-finals
M102,2026-07-15,Eastern,ATLANTA,Semi-finals
M103,2026-07-18,Eastern,MIAMI,Bronze Final
M104,2026-07-19,Eastern,NEW YORK NEW JERSEY,Final
